epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,825.051,0.65296,0.64109,1.08529,0.60577,0.60865,0.59275,0.4327,1.17078,1.53605,1.55271,0.000132098,0.000132098,0.000132098
91,836.703,0.62479,0.6174,1.05171,0.61403,0.59876,0.58479,0.42029,1.19391,1.64073,1.5723,0.000121099,0.000121099,0.000121099
92,845.041,0.59785,0.54131,1.04571,0.57815,0.60157,0.58107,0.42257,1.16756,1.59006,1.54198,0.0001101,0.0001101,0.0001101
93,853.939,0.57916,0.53383,1.02891,0.64038,0.58225,0.58858,0.43028,1.12831,1.51905,1.4992,9.91012e-05,9.91012e-05,9.91012e-05
94,863.314,0.5621,0.5334,1.02489,0.66429,0.56468,0.59479,0.44056,1.14471,1.4842,1.50391,8.81023e-05,8.81023e-05,8.81023e-05
95,871.622,0.57099,0.5384,1.03775,0.60699,0.62003,0.59811,0.44899,1.14717,1.47518,1.51467,7.71034e-05,7.71034e-05,7.71034e-05
96,880.986,0.56168,0.49115,1.00858,0.61752,0.61103,0.60137,0.45001,1.13636,1.4869,1.50717,6.61045e-05,6.61045e-05,6.61045e-05
97,890.065,0.57015,0.50465,1.01042,0.61323,0.62982,0.6047,0.45353,1.13183,1.50358,1.50723,5.51056e-05,5.51056e-05,5.51056e-05
98,898.469,0.5415,0.48328,1.00082,0.58976,0.64175,0.61066,0.45739,1.13244,1.50493,1.50138,4.41067e-05,4.41067e-05,4.41067e-05
99,907.496,0.55089,0.49818,1.01874,0.605,0.64342,0.60752,0.45472,1.14017,1.51628,1.51019,3.31078e-05,3.31078e-05,3.31078e-05
100,916.632,0.54881,0.51278,1.03562,0.60285,0.63664,0.60333,0.45176,1.13511,1.52573,1.50415,2.21089e-05,2.21089e-05,2.21089e-05
